| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 7 | 1000 | 3000 |   45 |  0.2502806 |1578695178353 |     265 |   268.0 | 1,13 |mscp510.txt |   44 |
| 7 | 1100 | 3000 |   45 | 0.22318237 |1578695178353 |     265 |   268.0 | 1,13 |mscp510.txt |   50 |
| 7 | 1200 | 3000 |   45 | 0.21416059 |1578695178353 |     265 |   268.0 | 1,13 |mscp510.txt |   56 |
| 7 | 1300 | 3000 |   45 | 0.21100917 |1578695178353 |     265 |   268.0 | 1,13 |mscp510.txt |   61 |
| 8 | 1300 | 3000 |   45 | 0.22242342 |1578695343433 |     265 |   266.0 | 0,38 |mscp510.txt |   54 |
| 8 |  200 | 3000 |   45 | 0.22242342 |1578695343433 |     265 |   265.0 | 0,00 |mscp510.txt |   57 |
| 9 | 1200 | 3000 |   45 | 0.27580044 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   46 |
| 9 | 1300 | 3000 |   45 |  0.1963532 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   51 |
| 9 | 1400 | 3000 |   45 | 0.29122865 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   56 |
| 9 | 1500 | 3000 |   45 |  0.2732049 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |   61 |
|12 | 1200 | 3000 |   45 | 0.24051389 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   45 |
|12 | 1300 | 3000 |   45 | 0.23961136 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   50 |
|12 | 1400 | 3000 |   45 | 0.24413711 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   55 |
|12 | 1500 | 3000 |   45 | 0.21856202 |1578695612479 |     265 |   267.0 | 0,75 |mscp510.txt |   60 |
|14 | 1000 | 3000 |   45 | 0.24271844 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   40 |
|14 | 1100 | 3000 |   45 | 0.23806275 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   45 |
|14 | 1200 | 3000 |   45 | 0.23399946 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   51 |
|14 | 1300 | 3000 |   45 | 0.22673726 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |   56 |
|15 |  200 | 3000 |   45 | 0.18193357 |1578695959046 |     265 |   265.0 | 0,00 |mscp510.txt |   38 |
|16 |  200 | 3000 |   45 | 0.20781681 |1578695997430 |     265 |   265.0 | 0,00 |mscp510.txt |   52 |
|20 | 1200 | 3000 |   45 |  0.2740153 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   43 |
|20 | 1300 | 3000 |   45 |  0.2681715 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   48 |
|20 | 1400 | 3000 |   45 | 0.25822186 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   52 |
|20 | 1500 | 3000 |   45 | 0.26055756 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |   57 |
|22 | 1000 | 3000 |   45 | 0.27000853 |1578696314623 |     265 |   267.0 | 0,75 |mscp510.txt |   40 |
|22 | 1100 | 3000 |   45 | 0.26120535 |1578696314623 |     265 |   267.0 | 0,75 |mscp510.txt |   45 |
|22 | 1200 | 3000 |   45 | 0.26288232 |1578696314623 |     265 |   267.0 | 0,75 |mscp510.txt |   50 |
|22 | 1300 | 3000 |   45 | 0.26208615 |1578696314623 |     265 |   267.0 | 0,75 |mscp510.txt |   55 |
|23 | 1300 | 3000 |   45 | 0.22885875 |1578696394809 |     265 |   270.0 | 1,89 |mscp510.txt |   49 |
|23 | 1400 | 3000 |   45 | 0.22638147 |1578696394809 |     265 |   270.0 | 1,89 |mscp510.txt |   54 |
|23 | 1500 | 3000 |   45 | 0.21537568 |1578696394809 |     265 |   270.0 | 1,89 |mscp510.txt |   59 |
|23 | 1600 | 3000 |   45 |  0.2282085 |1578696394809 |     265 |   269.0 | 1,51 |mscp510.txt |   64 |
|27 | 1200 | 3000 |   45 | 0.23112525 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   48 |
|27 | 1300 | 3000 |   45 | 0.28786802 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   53 |
|27 | 1400 | 3000 |   45 | 0.22481397 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   59 |
|27 | 1500 | 3000 |   45 | 0.28854254 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |   64 |
|28 | 1000 | 3000 |   45 | 0.26654387 |1578696880194 |     265 |   266.0 | 0,38 |mscp510.txt |   49 |
|28 |  200 | 3000 |   45 | 0.26654387 |1578696880194 |     265 |   265.0 | 0,00 |mscp510.txt |   53 |
|30 | 1000 | 3000 |   45 |  0.2806768 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   45 |
|30 | 1100 | 3000 |   45 |  0.2526545 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   50 |
|30 | 1200 | 3000 |   45 | 0.19398712 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   55 |
|30 | 1300 | 3000 |   45 | 0.19500871 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |   60 |
|31 | 1200 | 3000 |   45 | 0.23648545 |1578697164085 |     265 |   266.0 | 0,38 |mscp510.txt |   46 |
|31 | 1300 | 3000 |   45 | 0.22423878 |1578697164085 |     265 |   266.0 | 0,38 |mscp510.txt |   51 |
|31 |  200 | 3000 |   45 | 0.22423878 |1578697164085 |     265 |   265.0 | 0,00 |mscp510.txt |   53 |
