| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 2 | 3000 | 3000 |   70 | 0.25066727 |1578691587389 |     514 |   517.0 | 0,58 |mscp410.txt |1,6e+02 |
| 2 |  200 | 3000 |   70 | 0.25066727 |1578691587389 |     514 |   517.0 | 0,58 |mscp410.txt |1,6e+02 |
| 4 | 3000 | 3000 |   70 | 0.26554808 |1578691894753 |     514 |   518.0 | 0,78 |mscp410.txt |1,8e+02 |
| 4 |  200 | 3000 |   70 | 0.26554808 |1578691894753 |     514 |   518.0 | 0,78 |mscp410.txt |1,8e+02 |
| 9 | 3000 | 3000 |   70 |  0.3063966 |1578692507153 |     514 |   516.0 | 0,39 |mscp410.txt |1,8e+02 |
| 9 |  200 | 3000 |   70 |  0.3063966 |1578692507153 |     514 |   516.0 | 0,39 |mscp410.txt |1,8e+02 |
|12 | 3000 | 3000 |   70 | 0.24526583 |1578692790293 |     514 |   518.0 | 0,78 |mscp410.txt |1,9e+02 |
|12 |  200 | 3000 |   70 | 0.24526583 |1578692790293 |     514 |   518.0 | 0,78 |mscp410.txt |1,9e+02 |
|18 | 3000 | 3000 |   70 | 0.31343284 |1578693431083 |     514 |   516.0 | 0,39 |mscp410.txt |1,6e+02 |
|18 |  200 | 3000 |   70 | 0.31343284 |1578693431083 |     514 |   516.0 | 0,39 |mscp410.txt |1,6e+02 |
|20 |  200 | 3000 |   70 |  0.3161655 |1578693701925 |     514 |   517.0 | 0,58 |mscp410.txt |1,6e+02 |
|23 | 3000 | 3000 |   70 | 0.31375486 |1578694093823 |     514 |   518.0 | 0,78 |mscp410.txt |1,6e+02 |
|23 |  200 | 3000 |   70 | 0.31375486 |1578694093823 |     514 |   518.0 | 0,78 |mscp410.txt |1,6e+02 |
|26 | 3000 | 3000 |   70 | 0.29868227 |1578694287132 |     514 |   518.0 | 0,78 |mscp410.txt |1,8e+02 |
|26 |  200 | 3000 |   70 | 0.29868227 |1578694287132 |     514 |   518.0 | 0,78 |mscp410.txt |1,8e+02 |
|30 | 3000 | 3000 |   70 | 0.29964483 |1578694674327 |     514 |   517.0 | 0,58 |mscp410.txt |1,9e+02 |
|30 |  200 | 3000 |   70 | 0.29964483 |1578694674327 |     514 |   517.0 | 0,58 |mscp410.txt |1,9e+02 |
