| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 7 |  200 | 3000 |   65 | 0.29592276 |1578695178353 |     265 |   265.0 | 0,00 |mscp510.txt |1,7e+02 |
| 9 | 2800 | 3000 |   65 | 0.31039461 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,6e+02 |
| 9 | 2900 | 3000 |   65 | 0.30110785 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,8e+02 |
| 9 | 3000 | 3000 |   65 | 0.30461946 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,9e+02 |
| 9 |  200 | 3000 |   65 | 0.30461946 |1578695400235 |     265 |   267.0 | 0,75 |mscp510.txt |1,9e+02 |
|14 | 2600 | 3000 |   65 |  0.2906648 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,6e+02 |
|14 | 2700 | 3000 |   65 | 0.28585187 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,7e+02 |
|14 | 2800 | 3000 |   65 | 0.28510153 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,8e+02 |
|14 | 2900 | 3000 |   65 | 0.28485325 |1578695753718 |     265 |   267.0 | 0,75 |mscp510.txt |1,9e+02 |
|20 | 2800 | 3000 |   65 | 0.28954855 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |1,6e+02 |
|20 | 2900 | 3000 |   65 | 0.29068452 |1578696123402 |     265 |   267.0 | 0,75 |mscp510.txt |1,7e+02 |
|20 | 3000 | 3000 |   65 | 0.28815964 |1578696123402 |     265 |   266.0 | 0,38 |mscp510.txt |1,8e+02 |
|20 |  200 | 3000 |   65 | 0.28815964 |1578696123402 |     265 |   266.0 | 0,38 |mscp510.txt |1,8e+02 |
|23 | 2900 | 3000 |   65 | 0.32176596 |1578696394809 |     265 |   268.0 | 1,13 |mscp510.txt |1,7e+02 |
|23 | 3000 | 3000 |   65 | 0.31532806 |1578696394809 |     265 |   268.0 | 1,13 |mscp510.txt |1,8e+02 |
|23 |  200 | 3000 |   65 | 0.31532806 |1578696394809 |     265 |   268.0 | 1,13 |mscp510.txt |1,8e+02 |
|27 | 2800 | 3000 |   65 |  0.3000268 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |1,8e+02 |
|27 | 2900 | 3000 |   65 | 0.30284023 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |1,9e+02 |
|27 | 3000 | 3000 |   65 | 0.29735723 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |2,1e+02 |
|27 |  200 | 3000 |   65 | 0.29735723 |1578696672536 |     265 |   266.0 | 0,38 |mscp510.txt |2,1e+02 |
|30 | 2600 | 3000 |   65 |  0.2886224 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,5e+02 |
|30 | 2700 | 3000 |   65 | 0.27865848 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,6e+02 |
|30 | 2800 | 3000 |   65 | 0.28558242 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,7e+02 |
|30 | 2900 | 3000 |   65 | 0.31955126 |1578696973312 |     265 |   267.0 | 0,75 |mscp510.txt |1,8e+02 |
