| # |    #ITER | #IterMAX | Nest |      %Desc |      semilla | BestFit |GottedFit |  RDP |  instancia | time |
-------------------------------------------------------------------------------------------------
| 5 | 2600 | 3000 |   65 | 0.32300213 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |2,2e+03 |
| 5 | 2700 | 3000 |   65 |  0.3222408 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |2,4e+03 |
| 5 | 2800 | 3000 |   65 | 0.32873368 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |2,7e+03 |
| 5 | 2900 | 3000 |   65 |  0.3278093 |1578723699140 |      72 |    73.0 | 1,39 | mscpb5.txt |2,9e+03 |
|14 | 2700 | 3000 |   65 | 0.40147462 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |6,8e+02 |
|14 | 2800 | 3000 |   65 |  0.4016129 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |7,9e+02 |
|14 | 2900 | 3000 |   65 |  0.4083906 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |9,0e+02 |
|14 | 3000 | 3000 |   65 | 0.41776904 |1578728143696 |      72 |    73.0 | 1,39 | mscpb5.txt |1,0e+03 |
|16 | 2600 | 3000 |   65 | 0.34363434 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |4,4e+02 |
|16 | 2700 | 3000 |   65 | 0.34382442 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |4,6e+02 |
|16 | 2800 | 3000 |   65 |  0.3542024 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |4,9e+02 |
|16 | 2900 | 3000 |   65 |  0.3503562 |1578729217610 |      72 |    73.0 | 1,39 | mscpb5.txt |5,1e+02 |
|31 | 2800 | 3000 |   65 |  0.3434113 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |7,2e+02 |
|31 | 2900 | 3000 |   65 |  0.3548508 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |7,9e+02 |
|31 | 3000 | 3000 |   65 |  0.3666542 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |8,6e+02 |
|31 |  300 | 3000 |   65 |  0.3666542 |1578732119641 |      72 |    73.0 | 1,39 | mscpb5.txt |8,6e+02 |
